QUARTER,City,City,latitude,longitude,name,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020
"Brazil, Paranagua",Paranagua,Paranagua,-25.523848,-48.518019,Paranagua,22.17170149,22.3500772,21.82139071,21.58888767,18.98646144,19.73655629,18.34553394,17.97266951,22.62488022,20.86466432,21.33830013,21.6392289,21.1711473,22.01280187,22.49080443,22.26445213,21.82189066,21.11467933,20.91359941,23.58565582,23.84945932,23.38285541,23.75013319,23.83858341,24.04399651,25.8642538,26.03238466,24.78830613,25.49677856,26.32548564,28.25315466,27.97929799,27.20038521,28.27528698,29.54679835,29.75133135,29.57743537,29.46224531,29.285359,28.28238705,29.00612247,29.32954265,28.94129647,28.76293591,29.02723724,29.89651674,30.14457532,29.92179616,29.939742,30.07834729,30.1767986,29.61461755,29.45047514,31.04950963,31.10935517,31.1407457,31.04989136,32.16299845,32.22469827
"Uruguay, Montevideo",Montevideo,Montevideo,-34.905904,-56.191357,Montevideo,17.83973774,20.96794747,20.24547183,19.43286324,18.52438487,19.84823751,20.23089983,20.16220136,20.66237465,19.94834372,20.80988267,19.09436923,20.11527661,22.95769011,22.20462987,22.99634908,23.4032981,24.04121132,23.71741303,23.39638814,24.56032424,24.50599287,26.06716726,26.64580732,25.86573364,27.73317195,28.21318906,28.48426804,28.50373193,28.67494814,28.16687117,27.46105233,29.21880528,30.31994302,30.77413842,30.71959487,30.69962576,30.93870998,29.17792202,28.67203482,29.21920453,30.29014349,30.30674111,30.49959389,29.96024069,30.89606737,30.96019596,31.33598731,30.92330618,30.75130182,31.85544672,31.45358691,30.65965864,31.68821726,31.73964637,31.84408461,31.66452989,32.06471497,32.12125329
"Iran (Islamic Republic of), Bandar Abbas",Bandar Abbas,Bandar Abbas,27.178121,56.276645,Bandar Abbas,17.60870562,19.64354735,25.87580895,26.49083317,26.12968346,25.96477629,25.36327123,25.42155278,20.03214191,21.3949212,22.22123504,23.04047062,26.35775742,26.30585827,28.54885819,29.83528516,30.5663863,31.26138545,30.64960116,30.59288299,31.704543,30.69525912,28.72510677,28.78338629,23.31063564,23.46891813,23.49965393,22.52805805,22.88371972,22.23472749,18.93506012,18.60107116,18.66799131,18.4956513,18.15452139,19.43414338,19.09177326,19.09596729,23.60246038,26.48517613,39.2690203,34.88634939,30.17065731,30.37767995,28.34594368,36.09300505,35.38577754,35.08696657,35.11637824,37.77408319,31.66523055,16.8322252,16.83231079,16.88911759,17.49110523,17.18887092,16.5360082,16.5360082,32.1167091
"Australia, Brisbane",Brisbane,Brisbane,-27.468968,153.023499,Brisbane,22.52937229,22.44121754,22.25892519,21.86714656,22.28742131,23.02319834,23.19176696,24.07244985,24.276192,25.04854673,25.2772228,24.05071782,23.49041047,23.35682985,22.62388365,22.63556355,22.29527082,22.96408671,23.38849169,23.04068349,22.84150369,22.17895901,22.95289417,22.93098353,23.23947958,23.12882494,23.33103018,22.49952459,24.91866169,24.58233149,26.09835298,25.97509136,27.22863845,27.78833702,27.08154877,26.9525103,26.24887551,25.5397913,24.85936786,25.03687468,24.86764108,24.31059797,25.24352995,25.36918025,25.64346238,25.19350571,25.37473915,25.65668907,26.14080493,25.23961964,28.36386073,28.46577975,28.32698296,27.53132053,29.75366415,30.84887517,29.15435335,28.84437658,31.84347261
"Djibouti, Djibouti",Djibouti,Djibouti,11.9159,42.419399,Djibouti,9.831899028,9.948398861,10.20893475,11.58788187,13.45802766,14.04336918,14.14641736,13.69132797,13.29461708,11.56376639,11.38789813,9.214088859,20.10721609,20.66663733,20.93106329,19.83505423,16.00801687,15.92782887,16.28334205,15.98195046,17.12982885,16.12000505,16.16240539,16.03726138,15.84806988,18.00197695,18.30784845,18.4265686,18.23149168,18.7461704,19.09817465,19.21566677,20.16408358,19.98373856,20.70460472,20.50582696,23.71998192,23.88934449,25.50753351,25.84620532,31.37216694,31.5580947,35.00943234,31.27008853,34.24532945,26.55675715,26.91507038,26.88327183,31.89819768,32.10314775,31.45944851,31.12258604,30.22090559,29.31202729,31.954259,31.77234618,31.73730618,33.64316581,31.80159689
"Australia, Sydney",Sydney,Sydney,-33.854816,151.216454,Sydney,22.15364338,22.48260923,22.44729584,22.31055391,22.72422026,22.92769311,23.58502912,23.65627831,23.67563164,24.41042013,24.48751507,23.53150713,24.69455587,23.0881034,22.57942938,22.60840088,22.62605652,22.84517843,24.51971047,24.82223908,24.50915158,23.47573357,24.03836423,23.42512246,22.99840585,24.83836994,24.49190458,23.07564066,24.57353142,24.42375636,24.82016246,24.76471845,26.06229445,26.81919713,26.15915072,26.5181867,25.95692648,26.39803776,26.59097522,26.93201529,27.22427192,28.26240795,27.86291306,28.01024609,29.73475698,27.15212538,29.84727326,27.52068093,27.46316131,27.42684906,28.6465358,28.80216835,28.94129238,28.26153773,30.86253839,31.19108005,29.59666928,29.97727312,31.79565719
"Philippines, Manila",Manila,Manila,14.590607,120.979901,Manila,23.43363828,22.26380434,21.83502452,22.46458827,22.27629168,22.52407017,23.55627501,23.76946543,23.29547256,22.23619668,21.2892453,23.24521096,22.82703474,22.16625464,22.73455058,22.42749242,21.80788658,23.00608559,23.61867161,23.56820171,24.62527353,25.05677319,24.75070324,22.92411797,22.51235844,22.24223271,23.29569114,24.02018558,25.08580296,25.34367286,26.93732606,27.34909493,26.78821426,27.46639822,25.7197708,23.90132146,24.29302328,24.16106387,24.0728208,27.99987669,30.7263423,30.20144468,30.15509799,31.62950002,30.81104036,32.5695695,33.01551146,31.5415088,31.84718905,31.50261774,32.08051343,32.21188856,32.38007698,33.15906149,32.42914458,32.16050397,30.4579054,32.17181381,31.74489714
"Dominican Republic, Caucedo",Caucedo,Caucedo,42.49029,-6.76276,Caucedo,11.87033101,11.68311311,11.50577361,14.53571533,14.09930986,15.07699591,17.09005467,16.79051652,17.65221732,17.07283572,16.12448638,16.83973572,17.91688792,17.65415776,19.27340933,19.50066163,18.97904277,19.26822475,18.71611714,19.69929818,20.17964594,20.75276402,21.14198428,21.06005355,22.0044636,22.94418859,22.58233306,24.60530289,24.69042553,24.88964647,24.81823168,26.38399323,25.39467751,24.8790655,24.98444563,24.55570618,22.05403065,22.06745579,22.62744058,22.90472762,23.95398588,24.06886919,28.64944321,28.75884439,30.1675244,30.44300768,32.13394379,33.29392274,33.16426023,32.66006349,31.39863875,32.47630574,32.19268166,32.39041827,35.31518427,33.1667484,32.5370368,33.00378917,31.69315747
"Argentina, Buenos Aires",Buenos Aires,Buenos Aires,-34.612869,-58.445979,Buenos Aires,25.81572381,25.56734137,25.68518214,25.62521974,25.14501359,25.11783661,24.78578514,24.74041845,27.29105979,26.63595357,27.02313077,27.30170681,26.8962314,25.71583993,26.10058817,25.87380288,26.31312685,26.82217135,26.56053729,28.41692857,28.36919461,28.90288732,27.5561339,28.10749171,27.55781498,29.83595796,30.04502336,30.35755008,30.28890662,30.92324678,30.28628338,30.17420712,32.2515897,34.11873701,33.75824474,33.69232641,33.74792038,33.57990248,32.1473791,31.60332148,32.1504912,32.23994829,32.0531003,31.59259109,31.23793174,32.05685533,32.11082559,32.06407222,32.08414871,31.90965713,32.63454285,32.6934163,31.86361947,33.31867839,33.37658175,33.22256237,32.02547364,32.02529785,31.56261645
"Brazil, Rio Grande",Rio Grande,Rio Grande,-32.032469,-52.098946,Rio Grande,23.50921925,23.2676916,22.788539,22.31801202,23.05063056,22.71282121,22.36231194,22.79301077,26.15758653,23.44582017,23.30013676,22.11688464,22.22593993,23.1754017,22.79898077,22.62091096,22.5289788,23.30950098,23.10486844,25.0991681,25.92925229,26.04856902,25.16109877,25.22377632,25.02244637,26.5530956,26.39991372,25.95086042,26.17161791,25.99914429,22.42149387,21.86440181,26.76276644,29.99683697,29.15013904,29.62246429,29.85577991,29.74049064,30.16226849,29.90742242,30.45621537,29.82990034,29.82527401,30.44483432,30.41005816,31.22822904,30.01057839,29.90661843,29.53042961,29.35842524,29.56453117,29.77434535,29.50448235,30.88591153,30.72904377,30.72380263,30.67837051,30.46423481,30.55022192
"United States of America, Wilmington (US-NC)",Wilmington (US-NC),Wilmington ,39.744432,-75.5451,Wilmington,9.918600259,9.976302245,9.977881847,9.977881847,12.0919332,11.462754,11.46445905,11.46104894,11.46103585,12.15795411,12.10432477,12.10432477,12.60975882,11.70289014,11.70289014,11.70289014,11.68056746,11.70246978,11.70636425,11.70859838,11.71128851,12.75794116,12.76000948,11.86293647,11.24237295,11.24379656,11.29752954,11.35090361,10.79784184,11.57226313,11.68207857,11.68731337,11.91174624,12.77371203,13.78143726,13.27725409,13.297555,13.24602031,13.74396334,13.63670465,13.19886414,20.25670948,19.2363909,9.138332827,13.88987198,23.39382173,23.9674201,23.53653564,23.9711827,24.92189378,23.13404803,24.68065234,26.44827355,27.93859613,26.425813,26.41991369,26.44692462,30.59335072,30.39874349
"United States of America, Jacksonville",Jacksonville,Jacksonville,30.325968,-81.65676,Jacksonville,20.60401228,20.47024454,20.42194395,20.36963414,19.54290888,19.54325797,19.5494926,19.45026814,19.45426689,19.46205669,17.78824643,20.0461623,18.32615883,17.39132845,22.00998043,18.67345231,18.93333696,21.65530634,21.78146058,21.78268619,22.38166797,22.69139283,22.75983267,23.0171826,23.56321496,24.55537247,23.59171614,23.05484267,23.11188245,23.70887437,25.10860504,25.10838562,24.65538623,25.28219245,26.04787178,24.53155234,26.21468857,25.4665441,22.66637116,23.47367686,23.71275458,23.36226671,25.56672203,26.02124624,26.75109576,29.05025626,28.5830295,28.46462336,33.62179442,24.69181024,25.9828497,28.60688294,30.49965418,30.77897259,29.46421589,29.02647964,28.6893849,30.14945203,30.34228917
"South Africa, Cape Town",Cape Town,Cape Town,-33.928905,18.417249,Cape Town,18.50516513,19.13107506,19.02096325,19.36318214,19.54213579,18.98526968,22.86138574,19.61747977,19.71443932,19.71264124,19.76560638,20.56072298,21.9680701,21.77376285,24.12118097,23.89312626,23.71903483,23.67621405,23.47864096,23.19566822,26.74654704,24.60513308,25.25965798,23.46856664,27.32693046,26.68532861,27.77675758,27.61792712,32.67314889,32.61122597,27.95083042,27.68667401,26.19590403,27.15774153,28.17413643,26.70273753,27.31814447,27.77871396,28.64446931,28.97438525,32.67321945,29.4647432,34.1734415,35.27775367,34.98111009,35.36732241,26.88699668,29.79785902,26.53428158,25.570301,25.57742449,25.99796204,26.94180969,30.4993596,30.33568981,31.00242809,30.81841991,30.30816128,30.14037082
"Egypt, Alexandria",Alexandria,Alexandria,38.804665,-77.043614,Alexandria,21.69813169,22.45332474,23.27034284,23.18533436,23.52615417,23.63140458,23.19606083,22.25591905,23.23556402,22.59927491,22.08422516,20.45474647,21.62450844,21.09267876,22.27353832,22.81106233,22.25915612,22.88801995,23.88003134,22.93198289,23.56176599,22.72420184,22.51627125,24.17001916,23.98662995,23.22810983,23.89856508,27.22485984,27.09493812,28.24043266,28.49781977,28.52818847,28.27766988,28.23274472,29.53367697,29.61533725,30.778075,28.63726848,29.20501271,29.32898854,31.11067879,34.05392805,33.04320598,31.7251973,32.37932107,30.71959029,33.44059051,33.97465651,31.69516359,32.31576869,32.93418446,32.85353239,32.13548757,31.27611845,31.04301952,31.85206401,31.11762471,30.51914981,30.03785375
"United States of America, Miami",Miami,Miami,25.775084,-80.194702,Miami,24.45686185,24.03086514,24.39763832,23.50556905,22.89623989,22.75050578,22.62239826,22.12431799,21.67492713,20.24592158,19.90799957,20.12368934,20.59190969,20.25508307,21.00764504,20.42480286,20.91042288,20.67497126,21.18343924,21.59566248,22.57029898,22.05052778,21.84684663,21.16805563,21.85524813,21.82031951,22.3894013,21.66692702,21.75716786,28.53912154,24.68360499,27.72456408,28.00900644,27.10512235,23.38555127,25.71335946,26.35834617,27.3130227,28.20071638,27.97783951,26.83603338,27.36730209,26.66076724,26.41180336,26.61058099,28.7089115,31.04407823,31.10069867,32.14574348,31.97136271,32.10921962,31.89367766,29.29281881,29.12261667,28.89613001,26.34696963,28.0714026,26.92999009,30.01090528
"United States of America, Seattle",Seattle,Seattle,47.603229,-122.33028,Seattle,25.20978078,23.65941696,23.67185856,23.19422881,23.75581608,23.79685393,23.56126918,23.60668961,23.28236503,23.1104801,23.20327321,23.65776968,23.57817406,23.64911601,27.14037554,27.40061176,27.3771873,27.66574654,27.68099381,28.02979493,27.02120795,26.85042773,26.56613485,25.78655994,25.50449707,24.78337566,24.36490793,26.14693737,24.07207588,24.17037777,24.57422141,26.43510105,25.96545732,26.214124,25.3018695,25.03242301,24.69016805,25.15704958,25.8155319,25.75747622,27.05485202,26.35695979,27.11809706,26.69058688,26.75818656,31.39061766,31.56183531,31.41697332,31.38362338,32.47772458,32.73273564,34.90336327,35.06193865,30.90613927,31.06225411,31.0543356,33.36840566,34.7597446,29.95553011
"United States of America, New Orleans",New Orleans,New Orleans,29.950621,-90.074948,New Orleans,25.21546574,25.40282207,24.78933229,25.37779661,25.28455327,25.48962963,24.99239565,23.39262057,23.42047251,22.90459841,19.7079107,21.93918984,19.91889264,19.93576893,22.40865144,22.59283224,23.11964244,23.13001583,23.31520249,23.24434535,23.27696003,25.80730333,23.29647741,24.53769859,24.28729371,27.71677245,24.50666821,26.29443177,24.03108456,27.8745301,25.23602074,25.24371724,25.62250071,28.10612068,28.25458336,26.23875954,26.54401127,26.20448698,25.76372978,25.75477174,25.86926372,25.82192994,26.57876216,26.26250906,26.90461856,29.42734687,30.21421148,29.56623183,30.80062652,30.7528864,29.8582889,32.12252419,32.45432838,30.76691132,31.07578703,30.5178666,30.18443036,31.00623023,29.88256037
"Italy, Leghorn",Leghorn,Leghorn,43.542631,10.31603,Leghorn,25.29505823,26.31654072,26.60664945,26.94922323,26.96555325,25.86112311,25.26729702,26.59649252,26.29953395,26.96412887,26.23903866,26.77140586,26.82242811,26.65350515,24.22624227,24.50257072,24.49760529,24.83091275,25.72577476,26.03120035,26.37542384,26.68295256,27.45539997,27.20975815,24.1176226,23.54700469,23.46565693,24.56551424,22.87616526,22.47760953,23.09796468,23.35785531,23.6513472,25.13533428,23.60239216,25.10006949,26.84368384,27.03978324,27.55823891,27.38150059,27.56124434,25.97110318,25.61247671,25.91283886,25.97063692,26.98261031,26.7667777,25.85454538,25.90175812,25.88039827,28.49157611,28.18895775,27.39702766,26.57346646,26.91399228,27.0499423,26.99700186,27.0084346,29.81757462
"Congo, Pointe Noire",Pointe Noire,Pointe Noire,-4.788889,11.865278,Pointe Noire,10.38341641,11.10890704,10.60603691,10.77159738,10.60290197,11.26598575,11.71883442,12.32404992,12.69059314,12.98471571,13.00901886,13.0417981,12.65185946,13.11757532,11.76827295,11.75058192,10.45573448,10.71526178,10.76417823,11.25224608,11.90038569,12.91882202,12.8608004,12.65593874,14.10054685,14.43076027,17.25341896,16.56395801,16.85167195,16.95814533,18.33969504,18.3636807,18.79844301,19.65733443,19.61489239,20.41021623,20.4442666,18.81140947,18.91199079,18.43278449,25.80579893,26.61728499,25.26637339,25.40112003,28.32407732,25.94785261,25.79701304,24.51086447,24.15932108,24.00181257,23.50634655,22.97882607,22.79637044,29.0804323,28.90650882,29.23140236,29.44953288,29.47784547,29.63477482
"Brazil, Rio de Janeiro",Rio de Janeiro,Rio de Janeiro,-22.911014,-43.209373,Rio de Janeiro,19.79651655,19.47906861,18.94974211,19.06232454,18.9519664,20.88062221,20.92121807,20.24199305,20.3289277,20.39594405,21.75491147,20.03566592,20.38979838,21.15924093,22.61672858,21.6979663,21.88551359,22.24049388,22.77104652,22.79858731,22.49398833,23.30551238,25.10711897,25.97002915,26.14618804,24.04151987,25.92647556,25.64568699,24.74841631,27.53742117,29.53614862,29.43519577,26.96198706,21.7648289,24.25145379,20.49590017,20.04244645,19.84662108,20.58020799,21.0224961,20.97277088,21.9615307,21.94489344,19.85405534,19.84636623,19.78493966,20.20882723,25.1974592,26.09591627,27.00447912,30.44068656,29.87372913,29.45310971,29.45061954,29.5096161,29.56413145,29.05548276,29.39543435,29.1609898
"Mexico, Veracruz",Veracruz,Veracruz,19.20022,-96.138569,Veracruz,24.21558934,23.52904715,24.12449456,25.08023782,24.21647368,24.58808704,24.72961184,24.38608882,24.35282206,23.98570244,23.8873136,24.57698296,22.68270103,23.00633735,24.70612894,23.35942923,23.29815775,23.10381015,23.30751388,23.5312495,23.91473214,25.14723205,22.62255187,22.53203881,22.66021414,25.22705728,22.52193857,25.28418982,22.09242556,25.07738819,22.54725257,22.44092974,22.89284323,25.3868183,25.97799011,23.67717211,25.03858298,24.92400042,24.09361859,24.20277912,24.47655267,24.44846676,24.16723394,23.89202853,23.90097269,25.45801827,25.81074711,25.72374075,26.14306073,25.51589744,25.3911261,25.27324301,25.32523248,25.22843204,27.94213794,26.93414669,26.57744576,26.68996963,29.05321712
"Chile, Lirquen",Lirquen,Lirquen,49.261111,3.041944,Lirquen,9.253437745,9.586824944,9.044088002,9.046632821,8.949579008,8.955946292,7.763843838,8.466538249,8.410183435,9.595072681,9.710230631,11.19170842,11.17380703,11.28783058,11.28836808,11.28836808,11.86446733,12.11154897,11.53059257,11.70389581,13.69983775,13.86000757,14.27027406,14.04987467,14.17238217,6.330061902,13.90900174,13.94118001,13.90263174,13.64342345,13.64689842,13.64689842,13.6081859,13.6383316,13.64627483,13.45537201,13.36126609,13.38286958,14.34720503,21.50752467,21.69045414,21.69204919,27.54192021,27.56628782,27.57012719,27.80573527,27.62733702,27.63579693,27.63507716,..,27.01913874,26.86025392,26.84113485,26.83549715,26.81984036,29.09725422,29.09322667,29.07781146,29.03618841
"Bahamas, Freeport (BS)",Freeport (BS),Freeport ,42.290254,-89.631818,Freeport,19.07965596,18.50716105,18.34651151,18.32599629,18.39715979,18.62393912,18.6071941,18.96123735,18.60268627,18.3524803,18.6662232,18.69563287,16.59341796,16.74246836,18.51986949,18.92932328,22.37500038,22.80516383,22.44832716,22.24266679,22.3417783,22.37329771,22.94522122,24.07031318,23.90335299,23.15009285,23.44057011,23.65366002,23.71613949,23.74138587,23.26256222,23.27274955,23.21991983,23.35185645,24.04150698,24.10423915,24.49626203,23.84984006,23.92135288,24.57379391,24.99142656,25.14634245,26.22949509,26.44163293,25.5668131,26.98505263,28.45313228,28.45006927,28.3766743,28.39616161,27.97243333,27.95296546,26.63727736,30.12265993,33.12883029,30.23391414,30.6606367,29.07519766,28.98269516
"United States of America, Tacoma",Tacoma,Tacoma,47.25308,-122.44153,Tacoma,20.10645032,19.76042211,19.1997607,19.20070295,18.93733636,18.6401754,17.96077531,17.96392103,21.84989888,21.53451006,19.85219607,21.57881221,22.69902695,23.22443024,17.48339242,17.15713613,17.16365352,17.32932558,16.84174425,17.85643249,17.60601769,18.01793029,17.51848443,16.39615148,17.82018125,21.30713301,23.34270381,23.34502101,23.33892154,23.49657794,26.06167172,26.94730722,26.85616786,26.98396344,27.70581837,27.60772693,27.58171678,24.00654285,24.28221033,27.37728205,27.37559425,27.38720163,27.65402622,27.16115394,27.15999551,21.67998973,18.72774381,19.06772908,19.06934795,22.03691945,21.60891529,31.14955601,31.01599941,26.13277801,22.45482675,21.88297949,21.82080443,23.66548699,28.73911836
"Angola, Luanda",Luanda,Luanda,-8.81696,13.238161,Luanda,11.65447248,12.10157292,12.09106677,11.48175134,11.24609477,11.59443466,10.67296494,11.06594004,11.1325256,10.80909141,10.52499665,11.27988247,12.05226626,12.00637388,13.04289155,12.85502954,12.76007917,12.73832748,13.2081984,13.19531119,13.55914034,13.3057051,13.18639882,14.27048402,14.77493829,15.60293593,16.58154113,18.54799121,18.96425305,19.02983003,18.90435988,18.78794143,19.65400289,21.18025089,20.87576676,21.38563526,21.44440309,20.30151354,20.40033259,20.26494275,27.92440077,27.27172278,26.0287515,25.79045194,27.88367071,24.74007573,24.65596248,23.95615044,23.75040341,23.82569972,23.08516611,22.55678842,22.54742307,28.7699871,28.74521574,29.29293663,28.62811322,28.06549764,28.347737
"Panama, Cristobal",Cristobal,Cristobal,40.469292,-5.889882,Cristobal,7.185854896,6.586966223,6.11132225,6.056853427,6.34802542,6.347252066,6.058609718,6.07638453,4.188241792,7.686775146,9.390613079,10.70339909,11.8751696,4.916826673,13.46948771,13.60212157,13.52706483,13.69012326,13.23891538,13.46845676,13.84385345,14.92475663,15.99150975,14.53454101,15.91304339,16.97610693,17.7873622,17.10052885,17.2576166,17.73836885,17.44205948,17.45227453,16.66952325,16.48989813,16.9157152,17.25771677,17.57442272,17.40431472,19.09445709,20.53576789,20.42341185,19.94076148,18.7882789,23.4184204,24.0855795,23.83749962,24.37249062,23.28709661,23.12810639,23.15169421,23.52072977,29.06378703,28.87201721,28.98166014,31.50057113,28.01912624,28.42567267,29.35503843,28.07736476
"New Zealand, Tauranga",Tauranga,Tauranga,-37.686732,176.167361,Tauranga,17.63382946,17.19467337,17.26692263,17.64291957,13.72225923,15.32282073,15.20139047,15.39399939,15.36665239,16.15278191,15.8310234,15.95459654,15.76722655,16.26230621,16.8444405,16.90434287,16.77889654,18.7072505,17.90994516,17.77889768,17.79221565,17.60452645,17.61694372,17.56883502,18.27245081,18.3188973,18.32519169,18.865046,18.91301153,18.68239899,19.40076691,20.13914723,19.9836205,20.38275546,20.1935475,19.96300353,21.2407221,20.45315534,20.89558502,20.13136446,20.40081206,19.72243031,20.58045148,29.65671163,33.14161146,33.7974747,30.53271042,30.15621752,30.17110195,21.66241801,29.36384392,29.13876306,29.19259633,29.37186518,29.15088815,28.89413907,27.72376677,27.84946126,27.94122536
"Brazil, Salvador",Salvador,Salvador,-12.981636,-38.482077,Salvador,13.17707244,12.90266089,13.00350888,13.28404476,12.50698345,13.39280636,13.93589336,13.53989335,12.96623919,14.1997049,14.29486609,15.87957761,15.31189603,16.91209431,17.23086738,16.88422387,17.42938019,17.18110103,17.24828171,17.37493161,17.40806378,18.15063174,17.65244725,17.41810196,16.15919893,16.16958889,15.91665526,18.47817897,18.44739407,22.85259833,22.86348777,22.89534299,22.71751666,22.99810261,22.84651545,22.80586323,23.15779814,20.24781828,20.21792261,22.30727328,22.57049343,22.5403635,22.54445525,22.54677417,22.71586747,22.77530391,22.77845221,23.67958667,25.8039256,25.3779001,25.38425092,25.43263653,25.83138434,25.79060626,25.840703,26.34189396,24.54778309,24.72954616,27.75744281
"Romania, Constantza",Constantza,Constantza,44.171786,28.631977,Constantza,16.42015968,16.84763132,20.66424068,20.86407199,20.55867638,21.45560797,22.59791471,23.50872365,23.84693672,23.21329043,22.73603087,22.60937559,18.86614845,18.92605733,18.74463268,18.75406753,19.07078591,18.51628638,18.46490208,18.18051893,18.141637,18.14044906,18.12507811,21.25501744,18.3802442,17.91265487,18.95922816,22.27491566,22.33385906,22.70525338,22.44543299,23.25825986,23.22712573,24.88379432,24.61893445,25.12069917,24.85573469,25.17037633,25.46570813,24.86191998,24.63094441,24.92502947,26.00753422,24.4336536,26.20451872,27.43442716,26.23384386,26.52028521,26.55463336,26.52307482,25.99803641,25.66625983,25.6598716,25.66709836,25.86498354,25.50063192,25.36355731,25.73037928,26.63639948
"Indonesia, Surabaya",Surabaya,Surabaya,-7.246041,112.737944,Surabaya,17.31271453,19.55036187,19.54232204,19.04297038,18.91482093,18.70143905,19.04476019,20.34151274,20.6638194,20.9988393,19.80461906,20.2324463,21.70113816,21.79471228,21.26137535,20.82525982,21.96746814,22.26832689,22.15710181,23.47160973,23.73165844,22.16044094,20.31578046,19.28619878,18.01341065,18.52836108,18.75518424,19.19488764,21.31177975,21.39420643,21.82023043,21.26802404,21.26661898,21.58013166,21.27894919,21.30719315,21.63999774,22.18218472,22.56192213,22.18085298,21.85342724,21.20757833,22.72597458,24.40706554,24.29039651,24.85128449,25.73408236,25.96674003,25.46924638,25.99542035,25.72913024,26.08599146,24.37730505,26.55805879,26.60517273,26.95940608,26.81837614,26.26561868,26.55033544
"Ukraine, Odessa",Odessa,Odessa,46.484612,30.732559,Odessa,12.09211269,11.52366746,15.01472326,15.62821404,15.13524095,15.09102264,17.27017931,17.22564952,16.56825342,16.634197,17.94127548,17.48414395,16.49341127,16.68485419,17.33980395,17.35982912,17.30552334,17.06676391,17.40165123,17.43389115,18.02869041,18.30989687,18.25696563,21.2717444,17.62829381,17.13505123,17.79533671,20.70666861,20.37497574,20.46333479,20.31388295,21.69375091,21.69783201,21.91904736,23.08040667,23.1361727,24.36932808,24.03449045,23.62305644,23.62489765,22.57584639,22.55959543,22.85746568,22.95372955,25.62844968,26.73108593,26.53602135,26.75327143,26.79705357,25.52923095,25.32421777,24.90228651,24.99494375,24.73224303,25.05516464,24.88096324,24.93835047,24.94344796,26.3399555
"Brazil, Suape",Suape,Suape,-7.98683,-34.83903,Suape,15.46707839,15.34594032,15.62901383,15.86912587,15.05993399,16.68356753,16.04439408,13.8293904,15.81857278,15.23761892,15.51237115,17.52526962,17.8550984,17.95471808,18.45733324,18.0029824,17.88093302,17.89088611,17.38347169,17.47385958,17.70459976,19.39630556,19.99058071,19.82695041,18.19114457,17.90213954,18.08384819,19.59744994,19.59761358,19.89842319,20.12788046,21.58590037,20.1553397,19.79265637,19.82256964,19.77720355,18.40725688,18.28037762,19.85491726,19.16040751,19.17200254,18.52007061,18.52494687,17.44380814,17.61764602,17.61929918,17.6229711,21.88411808,21.98210038,22.00833619,21.36262656,21.41815441,22.0247227,22.03466758,22.19107591,22.24230124,23.00584666,22.95420429,25.96797054
"Australia, Adelaide",Adelaide,Adelaide,-34.928634,138.599888,Adelaide,13.12875685,12.31635153,12.31942682,12.32291497,13.78288897,14.39625983,15.11305697,15.33187238,15.33545063,15.1646653,14.05182961,13.99025862,16.0250933,14.24821033,13.42796203,14.09363505,14.07844244,14.26033371,14.21393479,15.15101463,15.09275809,14.89392136,14.94829701,14.03350742,14.01336805,14.95760634,14.95575914,15.47851122,16.89831935,16.69367258,15.70504703,15.68040774,18.39465991,19.05301063,16.01914262,18.82594403,17.89876997,18.94962902,18.91083415,19.33031813,19.80361168,21.07588835,21.10596518,21.41485078,23.32475785,20.86254932,23.3936924,20.51705038,20.52904902,20.68369175,20.57022861,21.08241088,20.83352463,20.82116111,24.21104276,24.28805568,23.40325128,24.05227577,25.89426774
"Mexico, Altamira",Altamira,Altamira,-15.618195,-47.65557,Altamira,19.81132711,19.85352009,20.55398165,20.84877976,20.62251414,21.16806631,20.98291753,20.64342726,21.01536774,21.32098906,20.58128077,21.40424129,18.97071091,19.67108975,21.42055299,19.61022292,19.54895144,19.35460384,19.87590653,20.70825781,21.91344952,23.6141683,21.14311747,21.60222985,21.12250458,23.69130577,20.98618706,23.74843832,20.55704865,23.54201128,21.01241913,20.9060963,21.35800979,23.85198486,24.44391535,21.96175277,23.00690271,22.73143212,22.38474841,22.49384851,22.76716954,22.59895443,22.6310792,22.83050161,22.8395062,25.19517452,24.51890061,24.43189425,24.42114546,23.74035282,23.61558148,23.28624005,23.34017275,23.29700166,24.99706499,23.88941326,23.52735973,23.45853901,25.58829515
